,features,lables
216,"Iordanescu said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . """,B-PER O O O O O O O O O O O O O O O O B-ORG I-ORG O O O B-ORG I-ORG O O O
217,"I think it 's fair to give them a chance , "" he told reporters .",O O O O O O O O O O O O O O O O
218,"League title-holders Steaua Bucharest , who finished bottom of their Champions ' League group in the European Cup , have only two players in the squad .",O O B-ORG I-ORG O O O O O O B-MISC I-MISC I-MISC O O O B-MISC I-MISC O O O O O O O O O
219,"Attacking midfielder Adrian Ilie , who recently moved from Steaua to Turkish club Galatasaray , is ruled out after two yellow-card offences .",O O B-PER I-PER O O O O O B-ORG O B-MISC O B-ORG O O O O O O O O O
220,Squad :,O O
221,"Goalkeepers - Bogdan Stelea , Florin Prunea .",O O B-PER I-PER O B-PER I-PER O
222,"Defenders - Dan Petrescu , Daniel Prodan , Anton Dobos , Cornel Papura , Liviu Ciobotariu , Tibor Selymess , Iulian Filipescu .",O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
223,"Midfielders - Gheorghe Hagi , Gheorghe Popescu , Constantin Galca , Valentin Stefan , Basarab Panduru , Dorinel Munteanu , Ovidiu Stinga .",O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
224,"Forwards - Ioan Vladoiu , Gheorghe Craioveanu , Ionel Danciulescu , Viorel Ion .",O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
225,REUTER,B-ORG
226,-DOCSTART- SOCCER - BRAZILIAN CHAMPIONSHIP RESULTS .,O O O B-MISC O O O
227,RIO DE JANEIRO 1996-12-05,B-LOC I-LOC I-LOC O
228,Results of Brazilian,O O B-MISC
229,"soccer championship semifinal , first leg matches on Thursday .",O O O O O O O O O O
230,Goias 1 Gremio 3,B-ORG O B-ORG O
231,Portuguesa 1 Atletico Mineiro 0,B-ORG O B-ORG I-ORG O
232,-DOCSTART- CRICKET - LARA ENDURES ANOTHER MISERABLE DAY .,O O O B-PER O O O O O
233,Robert Galvin,B-PER I-PER
234,MELBOURNE 1996-12-06,B-LOC O
235,Australia gave Brian Lara another reason to be miserable when they beat West Indies by five wickets in the opening World Series limited overs match on Friday .,B-LOC O B-PER I-PER O O O O O O O O B-LOC I-LOC O O O O O O B-MISC I-MISC O O O O O O
236,"Lara , disciplined for misconduct on Wednesday , was dismissed for five to extend a disappointing run of form on tour .",B-PER O O O O O O O O O O O O O O O O O O O O O
237,"Australia , who hold a 2-0 lead in the five-match test series , overhauled West Indies ' total of 172 all out with eight balls to spare to end a run of six successive one-day defeats .",B-LOC O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O
238,"All-rounder Greg Blewett steered his side to a comfortable victory with an unbeaten 57 in 90 balls to the delight of the 42,442 crowd .",O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O
239,Man-of-the match Blewett came to the wicket with the total on 70 for two and hit three fours during an untroubled innings lasting 129 minutes .,O O B-PER O O O O O O O O O O O O O O O O O O O O O O O
240,"His crucial fifth-wicket partnership with fellow all-rounder Stuart Law , who scored 21 , added 71 off 85 balls .",O O O O O O O B-PER I-PER O O O O O O O O O O O
241,Lara looked out of touch during his brief stay at the crease before chipping a simple catch to Shane Warne at mid-wicket .,B-PER O O O O O O O O O O O O O O O O O B-PER I-PER O O O
242,West Indies tour manager Clive Lloyd has apologised for Lara 's behaviour on Tuesday .,B-LOC I-LOC O O B-PER I-PER O O O B-PER O O O O O
243,He ( Lara ) had told Australia coach Geoff Marsh that wicketkeeper Ian Healy was unwelcome in the visitors ' dressing room .,O O B-PER O O O B-LOC O B-PER I-PER O O B-PER I-PER O O O O O O O O O
244,"The Melbourne crowd were clearly angered by the incident , loudly jeering the West Indies vice-captain as he walked to the middle .",O B-LOC O O O O O O O O O O O B-LOC I-LOC O O O O O O O O
245,It was left to fellow left-hander Shivnarine Chanderpaul to hold the innings together with a gritty 54 despite the handicap of an injured groin .,O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O
246,Chanderpaul was forced to rely on a runner for most of his innings after hurting himself as he scurried back to his crease to avoid being run out .,B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
247,"Pakistan , who arrive in Australia later this month , are the other team competing in the World Series tournament .",B-LOC O O O O B-LOC O O O O O O O O O O O B-MISC I-MISC O O
248,-DOCSTART- CRICKET - AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD .,O O O B-LOC O B-LOC I-LOC B-MISC I-MISC O O
249,MELBOURNE 1996-12-06,B-LOC O
250,Scoreboard in the World Series,O O O B-MISC I-MISC
251,limited overs match between Australia and West Indies on Friday :,O O O O B-LOC O B-LOC I-LOC O O O
252,West Indies,B-LOC I-LOC
253,S. Campbell c Healy b Gillespie 31,B-PER I-PER O B-PER O B-PER O
254,R. Samuels c M. Waugh b Gillespie 7,B-PER I-PER O B-PER I-PER O B-PER O
255,B. Lara c Warne b Moody 5,B-PER I-PER O B-PER O B-PER O
256,S. Chanderpaul c Healy b Blewett 54,B-PER I-PER O B-PER O B-PER O
257,C. Hooper run out 7,B-PER I-PER O O O
258,J. Adams lbw b Moody 5,B-PER I-PER O O B-PER O
259,J. Murray c Blewett b Warne 24,B-PER I-PER O B-PER O B-PER O
260,N. McLean c and b M. Waugh 7,B-PER I-PER O O O B-PER I-PER O
261,K. Benjamin b Warne 8,B-PER I-PER O B-PER O
262,C. Ambrose run out 2,B-PER I-PER O O O
263,C. Walsh not out 8,B-PER I-PER O O O
264,Extras ( lb-10 w-1 nb-3 ) 14,O O O O O O O
265,Total ( 49.2 overs ) 172,O O O O O O
266,Fall of wickets : 1-11 2-38 3-64 4-73 5-81 6-120 7-135 8-150,O O O O O O O O O O O O
267,9-153 .,O O
268,"Bowling : Reiffel 10-2-26-0 ( nb-3 ) , Gillespie 10-0-39-2 ,",O O B-PER O O O O O B-PER O O
269,"Moody 10-1-25-2 , Blewett 6.2-0-27-1 , Warne 10-0-34-2 ( w-1 ) ,",B-PER O O B-PER O O B-PER O O O O O
270,M. Waugh 3-0-11-1 .,B-PER I-PER O O
271,Australia,B-LOC
272,M. Taylor b McLean 29,B-PER I-PER O B-PER O
273,M. Waugh c Murray b Benjamin 27,B-PER I-PER O B-PER O B-PER O
274,R. Ponting lbw McLean 5,B-PER I-PER O B-PER O
275,G. Blewett not out 57,B-PER I-PER O O O
276,M. Bevan st Murray b Hooper 3,B-PER I-PER O B-PER O B-PER O
277,S. Law b Hooper 21,B-PER I-PER O B-PER O
278,T. Moody not out 3,B-PER I-PER O O O
279,Extras ( lb-17 nb-8 w-3 ) 28,O O O O O O O
280,"Total ( for five wickets , 48.4 overs ) 173",O O O O O O O O O O
281,Fall of wickets : 1-59 2-70 3-78 4-90 5-160 .,O O O O O O O O O O
282,"Did not bat : I. Healy , P. Reiffel , S. Warne , J. Gillespie .",O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
283,"Bowling : Ambrose 10-3-19-0 ( 2nb 1w ) , Walsh 9-0-34-0 ( 4nb ) ,",O O B-PER O O O O O O B-PER O O O O O
284,"Benjamin 9.4-0-43-1 ( 1nb 1w ) , Hooper 10-0-27-2 ( 1nb ) , McLean",B-PER O O O O O O B-PER O O O O O B-PER
285,10-1-33-2 ( 1w ) .,O O O O O
286,Result : Australia won by five wickets .,O O B-LOC O O O O O
287,-DOCSTART- CRICKET - AUSTRALIA BEAT WEST INDIES BY FIVE WICKETS .,O O O B-LOC O B-LOC I-LOC O O O O
288,MELBOURNE 1996-12-06,B-LOC O
289,Australia beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday .,B-LOC O B-LOC I-LOC O O O O O B-MISC I-MISC O O O O O B-LOC I-LOC I-LOC O O O
290,Scores : West Indies 172 all out in 49.2 overs ( Shivnarine Chanderpaul 54 ) ; Australia 173-5 in 48.4 overs ( Greg Blewett 57 not out ) .,O O B-LOC I-LOC O O O O O O O B-PER I-PER O O O B-LOC O O O O O B-PER I-PER O O O O O
291,-DOCSTART- CRICKET - WEST INDIES 172 ALL OUT IN 49.2 OVERS V AUSTRALIA .,O O O B-LOC I-LOC O O O O O O O B-LOC O
292,MELBOURNE 1996-12-06,B-LOC O
293,West Indies were all out for 172 off 49.2 overs in the World Series limited overs match against Australia on Friday .,B-LOC I-LOC O O O O O O O O O O B-MISC I-MISC O O O O B-LOC O O O
294,-DOCSTART- CRICKET - SHEFFIELD SHIELD SCORE .,O O O B-MISC I-MISC O O
295,"HOBART , Australia 1996-12-06",B-LOC O B-LOC O
296,Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,O O O O O O O O B-MISC I-MISC O O B-LOC O B-LOC O B-LOC I-LOC O O O
297,"Tasmania 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria .",B-LOC O O O O B-PER I-PER O O O O B-PER I-PER O O O O B-PER I-PER O O O B-ORG O
298,-DOCSTART- CRICKET - LARA SUFFERS MORE AUSTRALIAN TOUR MISERY .,O O O B-PER O O O O O O
299,MELBOURNE 1996-12-06,B-LOC O
300,"West Indies batsman Brian Lara suffered another blow to his Australian tour , after already being disciplined for misconduct , when he was dismissed cheaply in the first limited overs match against Australia on Friday .",B-LOC I-LOC O B-PER I-PER O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O B-LOC O O O
301,"Lara , who earned a stern rebuke from his own tour management after an angry outburst against Australia wicketkeeper Ian Healy , scored five to prolong a run of poor form with the bat .",B-PER O O O O O O O O O O O O O O O O B-LOC O B-PER I-PER O O O O O O O O O O O O O O
302,The West Indies vice-captain struggled for timing during his 36-minute stay at the crease before chipping a ball from medium pacer Tom Moody straight to Shane Warne at mid-wicket .,O B-LOC I-LOC O O O O O O O O O O O O O O O O O O B-PER I-PER O O B-PER I-PER O O O
303,West Indies were 53 for two in 15 overs when rain stopped play at the Melbourne Cricket Ground after captain Courtney Walsh won the toss and elected to bat .,B-LOC I-LOC O O O O O O O O O O O O O B-LOC I-LOC I-LOC O O B-PER I-PER O O O O O O O O
304,Lara 's outburst three days ago has clearly turned some of the Australian public against him .,B-PER O O O O O O O O O O O B-MISC O O O O
305,As he walked to the wicket he was greeted by loud jeers from sections of the crowd .,O O O O O O O O O O O O O O O O O O
306,"On several occasions during his innings , the crowd joined together in a series of obscene chants against him .",O O O O O O O O O O O O O O O O O O O O
307,Tour manager Clive Lloyd on Wednesday apologised for Lara 's behaviour in confronting Australia coach Geoff Marsh in the opposition dressing room to protest against his dismissal in the second test on Tuesday .,O O B-PER I-PER O O O O B-PER O O O O B-LOC O B-PER I-PER O O O O O O O O O O O O O O O O O
308,Lloyd did not say what form the discipline would take .,B-PER O O O O O O O O O O
309,"Lara , who holds the record for the highest score in test and first-class cricket , was unhappy about Healy 's role in the incident and questioned whether the ball had carried to the Australia keeper .",B-PER O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O B-LOC O O
310,Australia went on to win the match at the Sydney Cricket Ground by 124 runs to take a two-nil lead in the five-test series after Lara failed in both innings .,B-LOC O O O O O O O O B-LOC I-LOC I-LOC O O O O O O O O O O O O O B-PER O O O O O
311,Lara has yet to score a century since West Indies arrived in Australia five weeks ago .,B-PER O O O O O O O B-LOC I-LOC O O B-LOC O O O O
312,"Both West Indies and Australia team management have played down the incident , stressing that relations between the two sides have not been adversely affected .",O B-LOC I-LOC O B-LOC O O O O O O O O O O O O O O O O O O O O O
313,"Pakistan , who arrive next week , are the third team in the triangular World Series tournament .",B-LOC O O O O O O O O O O O O O B-MISC I-MISC O O
314,-DOCSTART- CRICKET - WEST INDIES TO BAT AFTER WINNING THE TOSS .,O O O B-LOC I-LOC O O O O O O O
315,MELBOURNE 1996-12-06,B-LOC O
316,West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .,B-LOC I-LOC O B-PER I-PER O O O O O O O O O O O O O B-MISC I-MISC O O O O B-LOC O O B-LOC O O O O O
317,Teams :,O O
318,"Australia - Mark Taylor ( captain ) , Mark Waugh , Ricky Ponting , Greg Blewett , Michael Bevan , Stuart Law , Tom Moody , Ian Healy , Paul Reiffel , Shane Warne , Jason Gillespie , Glenn McGrath 12th man .",B-LOC O B-PER I-PER O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O O O
319,"West Indies - Sherwin Campbell , Robert Samuels , Brian Lara , Shivnarine Chanderpaul , Carl Hooper , Jimmy Adams , Junior Murray , Nixon McLean , Kenneth Benjamin , Curtly Ambrose , Courtney Walsh ( captain ) , Roland Holder 12th man .",B-LOC I-LOC O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O O O O B-PER I-PER O O O
320,-DOCSTART- BADMINTON - WORLD GRAND PRIX RESULTS .,O O O B-MISC I-MISC I-MISC O O
321,BALI 1996-12-06,B-LOC O
322,Results in last of the group matches at the World Grand Prix badminton finals on Friday :,O O O O O O O O O B-MISC I-MISC I-MISC O O O O O
323,Men 's singles,O O O
324,Group B,O O
325,Chen Gang ( China ) beat Martin Londgaard Hansen ( Denmark ) 15-12 15-6,B-PER I-PER O B-LOC O O B-PER I-PER I-PER O B-LOC O O O
326,Dong Jiong ( China ) beat Thomas Stuer-Lauridsen ( Denmark ) 15-10 15-6,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
327,Indra Wijaya ( Indonesia ) beat Ong Ewe Hock ( Malaysia ) 5-15 15-11 15-11,B-PER I-PER O B-LOC O O B-PER I-PER I-PER O B-LOC O O O O
328,Group C,O O
329,Sun Jun ( China ) beat Rashid Sidek ( Malaysia ) 15-12 17-14,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
330,Hermawan Susanto ( Indonesia ) beat Soren B. Nielsen ( Denmark ) 15-8 15-2,B-PER I-PER O B-LOC O O B-PER I-PER I-PER O B-LOC O O O
331,Group D,O O
332,Allan Budi Kuksuma ( Indonesia ) beat Poul-Erik Hoyer-Larsen ( Denmark ) 15-7 15-4,B-PER I-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
333,Budi Santoso ( Indonesia ) beat Hu Zhilan ( China ) 15-4 15-5,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
334,Semifinals ( on Saturday ) : Fung Permadi ( Taiwan ) v Indra,O O O O O O B-PER I-PER O B-LOC O O B-PER
335,Wijaya ( Indonesia ) ; Sun Jun ( China ) v Allan Budi Kusuma,B-PER O B-LOC O O B-PER I-PER O B-LOC O O B-PER I-PER I-PER
336,( Indonesia ),O B-LOC O
337,Women 's singles,O O O
338,Group A,O O
339,Gong Zhichao ( China ) beat Mia Audina ( Indonesia ) 11-2 12-10,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
340,Group B,O O
341,Ye Zhaoying ( China ) beat Meiluawati ( Indonesia ) 11-6 12-10,B-PER I-PER O B-LOC O O B-PER O B-LOC O O O
342,Group C,O O
343,Camilla Martin ( Denmark ) beat Wang Chen ( China ) 11-0 12-10,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
344,Group D,O O
345,Susi Susanti ( Indonesia ) beat Han Jingna ( China ) 11-5 11-4 .,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
346,Semifinals ( on Saturday ) : Susi Susanti ( Indonesia ) v Camilla Martin ( Denmark ) ; Ye Zhaoying ( China ) v Gong Zichao ( China ) .,O O O O O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
347,-DOCSTART- SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS ' CUP .,O O O B-MISC O O B-MISC I-MISC I-MISC I-MISC I-MISC O
348,CAIRO 1996-12-06,B-LOC O
349,Result of the second leg of the African Cup Winners ' Cup final at the National stadium on Friday : Arab Contractors ( Egypt ) 4 Sodigraf ( Zaire ) 0 ( halftime 2-0 ),O O O O O O O B-MISC I-MISC I-MISC I-MISC I-MISC O O O B-LOC I-LOC O O O B-ORG I-ORG O B-LOC O O B-ORG O B-LOC O O O O O O
350,Scorers :,O O
351,"Aly Ashour 7 , 56 penalty , Mohamed Ouda 24 , 73",B-PER I-PER O O O O O B-PER I-PER O O O
352,Contractors won 4-0 on aggregate .,O O O O O O
353,-DOCSTART- NHL ICE HOCKEY - STANDINGS AFTER THURSDAY 'S GAMES .,O B-ORG O O O O O O O O O
354,NEW YORK 1996-12-06,B-LOC I-LOC O
355,Standings of National Hockey,O O B-ORG I-ORG
356,League teams after games played on Thursday ( tabulate under,B-ORG O O O O O O O O O
357,"won , lost , tied , goals for , goals against , points ) :",O O O O O O O O O O O O O O O
358,EASTERN CONFERENCE,O O
359,NORTHEAST DIVISION,O O
360,W L T GF GA PTS,O O O O O O
361,HARTFORD 12 7 6 77 76 30,B-ORG O O O O O O
362,BUFFALO 13 12 1 77 76 27,B-ORG O O O O O O
363,BOSTON 10 11 4 74 84 24,B-ORG O O O O O O
364,MONTREAL 10 14 4 96 103 24,B-ORG O O O O O O
365,PITTSBURGH 9 13 3 81 91 21,B-ORG O O O O O O
366,OTTAWA 7 11 6 62 72 20,B-ORG O O O O O O
367,ATLANTIC DIVISION,B-LOC O
368,W L T GF GA PTS,O O O O O O
369,FLORIDA 17 4 6 83 53 40,B-ORG O O O O O O
370,PHILADELPHIA 14 12 2 75 75 30,B-ORG O O O O O O
371,NEW JERSEY 14 10 1 61 61 29,B-ORG I-ORG O O O O O O
372,WASHINGTON 13 12 1 69 66 27,B-ORG O O O O O O
373,NY RANGERS 10 13 5 91 81 25,B-ORG I-ORG O O O O O O
374,NY ISLANDERS 7 11 8 65 72 22,B-ORG I-ORG O O O O O O
375,TAMPA BAY 8 15 2 69 81 18,B-ORG I-ORG O O O O O O
376,WESTERN CONFERENCE,O O
377,CENTRAL DIVISION,B-MISC I-MISC
378,W L T GF GA PTS,O O O O O O
379,DETROIT 15 9 4 81 53 34,B-ORG O O O O O O
380,DALLAS 16 9 1 74 60 33,B-ORG O O O O O O
381,CHICAGO 12 12 3 71 67 27,B-ORG O O O O O O
382,ST LOUIS 13 14 0 78 81 26,B-ORG I-ORG O O O O O O
383,TORONTO 11 15 0 76 89 22,B-ORG O O O O O O
384,PHOENIX 9 13 4 61 74 22,B-ORG O O O O O O
385,PACIFIC DIVISION,B-LOC O
386,W L T GF GA PTS,O O O O O O
387,COLORADO 17 6 4 97 56 38,B-ORG O O O O O O
388,VANCOUVER 14 11 1 84 83 29,B-ORG O O O O O O
389,EDMONTON 13 14 1 94 88 27,B-ORG O O O O O O
390,LOS ANGELES 11 13 3 72 83 25,B-ORG I-ORG O O O O O O
391,SAN JOSE 10 13 4 69 87 24,B-ORG I-ORG O O O O O O
392,CALGARY 10 16 2 65 77 22,B-ORG O O O O O O
393,ANAHEIM 9 14 4 73 86 22,B-ORG O O O O O O
394,"FRIDAY , DECEMBER 6",O O O O
395,ANAHEIM AT BUFFALO,B-ORG O B-LOC
396,TORONTO AT NY RANGERS,B-ORG O B-ORG I-ORG
397,PITTSBURGH AT WASHINGTON,B-ORG O B-LOC
398,MONTREAL AT CHICAGO,B-ORG O B-LOC
399,PHILADELPHIA AT DALLAS,B-ORG O B-LOC
400,ST LOUIS AT COLORADO,B-ORG I-ORG O B-LOC
401,OTTAWA AT EDMONTON,B-ORG O B-LOC
402,-DOCSTART- NHL ICE HOCKEY - THURSDAY 'S RESULTS .,O B-ORG O O O O O O O
403,[ CORRECTED 08:40 GMT ],O O O B-MISC O
404,NEW YORK 1996-12-06,B-LOC I-LOC O
405,( Corrects headline from NBA to NHL and corrects team name in second result from La Clippers to Ny Islanders .,O O O O B-ORG O B-ORG O O O O O O O O B-ORG I-ORG O B-ORG I-ORG O
406,),O
407,Results of National Hockey,O O B-ORG I-ORG
408,League games on Thursday ( home team in CAPS ) :,B-ORG O O O O O O O O O O
409,Hartford 4 BOSTON 2,B-ORG O B-ORG O
410,FLORIDA 4 Ny Islanders 2,B-ORG O B-ORG I-ORG O
411,NEW JERSEY 2 Calgary 1,B-ORG I-ORG O B-ORG O
412,Phoenix 3 ST LOUIS 0,B-ORG O B-ORG I-ORG O
413,Tampa Bay 2 LOS ANGELES 1,B-ORG I-ORG O B-ORG I-ORG O
414,-DOCSTART- NFL AMERICAN FOOTBALL-COLTS CLOBBER EAGLES TO STAY IN PLAYOFF HUNT .,O B-ORG O O O B-ORG O O O O O O
415,INDIANAPOLIS 1996-12-06,B-LOC O
416,The injury-plagued Indianapolis Colts lost another quarterback on Thursday but last year 's AFC finalists rallied together to shoot down the Philadelphia Eagles 37-10 in a showdown of playoff contenders .,O O B-ORG I-ORG O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O
417,"Marshall Faulk rushed for 101 yards and two touchdowns and Jason Belser returned an interception 44 yards for a score as the Colts improved to 8-6 , the same mark as the Eagles , who lost for the fourth time in five games .",B-PER I-PER O O O O O O O O B-PER I-PER O O O O O O O O O O B-ORG O O O O O O O O O B-ORG O O O O O O O O O O O
